국가별,2022,2022,2023,2023,2024,2024
국가별,수출,수입,수출,수입,수출,수입
　　　독일,40.26,38.03,37.61,32.43,36.13,30.58
　　　그리스,26.74,45.36,22.65,36.90,21.00,35.56
　　　헝가리,85.43,93.02,75.37,73.09,70.53,66.78
　　　아이슬란드,25.76,33.43,21.59,30.08,20.72,29.32
　　　아일랜드,39.04,26.85,37.78,27.40,41.67,24.71
　　　이탈리아,31.30,33.00,29.36,27.77,28.42,25.93
　　　라트비아,63.40,77.60,53.20,64.31,47.23,54.49
　　　리투아니아,65.44,77.56,53.87,60.77,46.79,52.73
　　　룩셈부르크,21.51,33.44,19.63,30.03,17.40,26.92
　　　북마케도니아,62.64,91.55,57.08,76.48,50.47,71.72
　　　몰타,16.91,44.27,15.61,37.83,15.51,35.86
　　　몰도바,29.82,63.47,24.23,51.91,19.53,49.81
　　　네덜란드,92.06,85.68,81.10,72.99,75.16,66.33
　　　노르웨이,42.01,17.73,36.05,19.77,34.79,20.13
　　　폴란드,51.83,54.80,46.96,45.55,41.55,41.47
　　　포르투갈,32.10,44.83,28.86,39.24,27.78,37.63
　　　루마니아,32.63,44.70,28.68,37.61,26.21,35.64
　　　러시아,25.84,12.07,20.49,14.64,-,-
　　　산마리노,209.82,151.08,-,-,-,-
　　　슬로바키아,93.53,97.05,87.75,84.78,81.56,79.68
　　　슬로베니아,116.33,116.41,105.64,103.59,109.07,116.34
　　　스페인,28.72,34.17,26.08,29.00,24.63,27.39
　　　스웨덴,34.10,35.02,33.73,32.99,32.09,30.93
　　　스위스,48.36,43.10,46.96,40.88,47.69,39.44
　　　우크라이나,27.24,34.13,19.89,35.05,21.18,36.96
　　　영국,17.54,26.45,15.58,23.49,14.08,22.39
　　　몬테네그로,11.92,59.37,9.68,54.73,8.23,54.67
　　　세르비아,43.50,61.60,38.03,48.98,35.46,47.42
　　　알제리,29.13,17.23,22.44,17.35,18.81,17.49
　　　앙골라,49.11,17.05,46.55,18.49,48.79,18.31
